"","census_id","CLSC_code","census_type"
"8991","4620092.00","06312","CT"
"9005","4620093.00","06312","CT"
"9011","4620094.01","06212","CT"
"9026","4620094.02","06311","CT"
"9028","4620095.00","06212","CT"
"9033","4620096.00","06212","CT"
"9036","4620097.01","06212","CT"
"9045","4620097.02","06212","CT"
"9053","4620098.00","06212","CT"
"9062","4620099.00","06212","CT"
"9070","4620100.01","06212","CT"
"9077","4620100.02","06212","CT"
"9083","4620101.01","06212","CT"
"9092","4620101.02","06212","CT"
"9098","4620102.00","06212","CT"
"9106","4620103.00","06212","CT"
"9110","4620104.00","06212","CT"
"9116","4620105.00","06212","CT"
"9123","4620106.00","06212","CT"
"9126","4620107.00","06212","CT"
"9129","4620108.00","06212","CT"
"9143","4620109.00","06223","CT"
"9146","4620110.00","06211","CT"
"9157","4620111.00","06211","CT"
"9174","4620112.01","06223","CT"
"9183","4620112.02","06223","CT"
"9191","4620113.00","06223","CT"
"9202","4620114.00","06223","CT"
"9207","4620115.01","06223","CT"
"9215","4620115.02","06224","CT"
"9279","4620120.01","06223","CT"
"9288","4620121.00","06222","CT"
"9292","4620122.00","06224","CT"
"9305","4620123.00","06224","CT"
"9317","4620124.00","06224","CT"
"9332","4620125.00","06224","CT"
"9344","4620126.00","06224","CT"
"9348","4620127.01","06224","CT"
"9359","4620127.02","06224","CT"
"9363","4620128.00","06225","CT"
"9368","4620129.01","06225","CT"
"9373","4620129.02","06225","CT"
"9377","4620130.00","06225","CT"
"9385","4620131.00","06225","CT"
"9393","4620132.00","06225","CT"
"9408","4620133.00","06321","CT"
"9417","4620134.00","06321","CT"
"9423","4620135.00","06321","CT"
"9428","4620136.00","06321","CT"
"9435","4620137.00","06321","CT"
"9439","4620138.00","06321","CT"
"9443","4620139.00","06321","CT"
"9449","4620140.00","06322","CT"
"9452","4620141.00","06322","CT"
"9455","4620142.00","06322","CT"
"9458","4620143.00","06322","CT"
"9464","4620144.00","06322","CT"
"9472","4620145.00","06322","CT"
"9474","4620146.00","06322","CT"
"9478","4620147.00","06322","CT"
"9483","4620148.00","06322","CT"
"9485","4620149.00","06322","CT"
"9495","4620150.00","06322","CT"
"9504","4620151.00","06322","CT"
"9508","4620152.00","06322","CT"
"9511","4620153.00","06322","CT"
"9515","4620154.00","06322","CT"
"9516","4620155.00","06322","CT"
"9520","4620156.00","06322","CT"
"9524","4620157.00","06322","CT"
"9528","4620158.00","06322","CT"
"9532","4620159.00","06322","CT"
"9536","4620160.00","06322","CT"
"9539","4620161.00","06321","CT"
"9543","4620162.00","06321","CT"
"9547","4620163.00","06321","CT"
"9554","4620164.00","06321","CT"
"9557","4620165.00","06321","CT"
"9560","4620166.00","06321","CT"
"9562","4620167.00","06321","CT"
"9567","4620168.00","06321","CT"
"9572","4620169.00","06321","CT"
"9577","4620170.00","06321","CT"
"9582","4620171.00","06321","CT"
"9594","4620172.00","06322","CT"
"9598","4620173.00","06322","CT"
"9602","4620174.00","06322","CT"
"9606","4620175.00","06322","CT"
"9610","4620176.00","06322","CT"
"9614","4620177.00","06322","CT"
"9617","4620178.00","06322","CT"
"9623","4620179.00","06432","CT"
"9633","4620180.00","06531","CT"
"9641","4620181.00","06531","CT"
"9649","4620182.00","06531","CT"
"9653","4620183.00","06531","CT"
"9657","4620184.00","06531","CT"
"9662","4620185.00","06531","CT"
"9672","4620186.00","06531","CT"
"9688","4620187.03","06531","CT"
"9696","4620187.04","06531","CT"
"9706","4620188.01","06531","CT"
"9710","4620188.02","06531","CT"
"9716","4620189.00","06531","CT"
"9719","4620190.01","06532","CT"
"9726","4620190.02","06531","CT"
"9735","4620191.00","06532","CT"
"9749","4620192.00","06524","CT"
"9755","4620193.00","06524","CT"
"9764","4620194.00","06524","CT"
"9775","4620195.01","06531","CT"
"9786","4620195.02","06532","CT"
"9802","4620195.03","06532","CT"
"9812","4620196.00","06531","CT"
"9821","4620197.00","06531","CT"
"9830","4620198.00","06531","CT"
"9839","4620199.00","06531","CT"
"9845","4620200.00","06531","CT"
"9853","4620201.00","06531","CT"
"9864","4620202.00","06531","CT"
"9872","4620203.00","06531","CT"
"9877","4620204.00","06531","CT"
"9882","4620205.00","06432","CT"
"9890","4620206.00","06432","CT"
