"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5050031.00",5335.00,5100.00,450.00,4650.00,240.00,5335.00,3885.00,1395.00,55.00,4930.00,660.00,1095.00,3170.00,2315.00,1310.00,100.00,695.00,125.00,60.00,25.00,4930.00,2655.00,2455.00,200.00,2275.00,5335.00,470.00,3135.00,1740.00,715.00,45.00,520.00,150.00,3115.00,1840.00,1280.00,0.00
"5050032.01",3360.00,3125.00,370.00,2755.00,235.00,3360.00,2490.00,845.00,25.00,3000.00,385.00,765.00,1850.00,1495.00,820.00,85.00,430.00,110.00,40.00,0.00,3000.00,1755.00,1620.00,130.00,1245.00,3360.00,430.00,1995.00,935.00,440.00,85.00,200.00,155.00,1840.00,580.00,1255.00,0.00
"5050032.02",5540.00,5445.00,1185.00,4265.00,95.00,5540.00,4560.00,970.00,0.00,4535.00,385.00,750.00,3405.00,2275.00,1325.00,105.00,475.00,200.00,155.00,20.00,4540.00,2845.00,2605.00,240.00,1690.00,5540.00,1195.00,3285.00,1065.00,475.00,50.00,220.00,200.00,2355.00,1575.00,780.00,0.00
"5050033.01",4370.00,4210.00,950.00,3255.00,160.00,4375.00,3775.00,565.00,35.00,3575.00,355.00,680.00,2540.00,2350.00,1300.00,140.00,505.00,160.00,210.00,35.00,3580.00,2645.00,2520.00,120.00,935.00,4375.00,960.00,3010.00,405.00,410.00,100.00,305.00,0.00,1890.00,1100.00,790.00,0.00
"5050033.02",2815.00,2695.00,410.00,2285.00,120.00,2815.00,2245.00,540.00,30.00,2460.00,405.00,415.00,1640.00,1495.00,760.00,90.00,320.00,135.00,160.00,20.00,2460.00,1635.00,1595.00,35.00,825.00,2815.00,430.00,1825.00,555.00,295.00,20.00,125.00,150.00,1405.00,765.00,630.00,0.00
"5050034.00",3410.00,3295.00,725.00,2570.00,115.00,3415.00,2900.00,505.00,10.00,2795.00,195.00,365.00,2235.00,1645.00,885.00,110.00,215.00,235.00,165.00,30.00,2795.00,1905.00,1820.00,85.00,890.00,3410.00,740.00,2095.00,570.00,225.00,55.00,165.00,0.00,1340.00,1150.00,190.00,0.00
"5050035.00",3660.00,3235.00,240.00,2995.00,430.00,3660.00,2755.00,675.00,230.00,3395.00,290.00,625.00,2485.00,2340.00,1000.00,70.00,595.00,470.00,175.00,30.00,3395.00,2570.00,2435.00,130.00,825.00,3660.00,310.00,3085.00,265.00,625.00,25.00,585.00,0.00,2135.00,715.00,1415.00,0.00
"5050036.00",3180.00,3090.00,575.00,2510.00,90.00,3180.00,2765.00,390.00,30.00,2670.00,200.00,300.00,2175.00,1660.00,640.00,100.00,240.00,500.00,175.00,0.00,2670.00,1980.00,1845.00,130.00,695.00,3175.00,590.00,2230.00,355.00,120.00,20.00,100.00,0.00,1375.00,845.00,530.00,0.00
"5050037.00",7110.00,6630.00,245.00,6390.00,475.00,7105.00,5700.00,1250.00,160.00,6855.00,220.00,1330.00,5310.00,4875.00,840.00,90.00,1255.00,2340.00,285.00,70.00,6860.00,5460.00,5115.00,350.00,1395.00,7105.00,265.00,6140.00,700.00,1065.00,40.00,920.00,105.00,5165.00,425.00,4745.00,0.00
"5050038.00",4740.00,4410.00,270.00,4135.00,330.00,4740.00,3275.00,1400.00,65.00,4505.00,625.00,945.00,2940.00,2835.00,635.00,35.00,825.00,1230.00,115.00,0.00,4505.00,3120.00,2950.00,170.00,1385.00,4740.00,290.00,3855.00,590.00,1630.00,140.00,1180.00,310.00,3225.00,590.00,2635.00,0.00
