"COL0","COL1","COL2","COL3","COL4"
"24720205",555.00,85.00,340.00,130.00
"24720206",3280.00,955.00,2140.00,185.00
"24720207",5210.00,1415.00,3315.00,475.00
"24720208",685.00,235.00,435.00,15.00
"24720209",605.00,130.00,455.00,20.00
"24720210",540.00,100.00,400.00,40.00
"24720212",390.00,55.00,270.00,70.00
"24720213",385.00,25.00,255.00,110.00
"24720214",490.00,155.00,310.00,25.00
"24720217",915.00,65.00,525.00,325.00
"24720220",1350.00,310.00,840.00,200.00
"24720221",680.00,165.00,460.00,55.00
"24720275",805.00,105.00,505.00,200.00
"24720276",270.00,55.00,195.00,20.00
"24720277",335.00,40.00,235.00,60.00
"24720278",430.00,125.00,285.00,20.00
"24720279",435.00,145.00,260.00,30.00
"24720280",450.00,145.00,290.00,15.00
"24720281",570.00,145.00,390.00,35.00
"24720282",550.00,140.00,370.00,40.00
"2473",157105.00,28265.00,106590.00,22245.00
"24730013",705.00,100.00,470.00,140.00
"24730014",800.00,210.00,535.00,60.00
"24730015",590.00,115.00,415.00,60.00
"24730016",875.00,135.00,640.00,100.00
"24730017",405.00,80.00,270.00,60.00
"24730018",1020.00,195.00,640.00,190.00
"24730019",485.00,90.00,310.00,85.00
"24730020",755.00,155.00,510.00,85.00
"24730021",1970.00,245.00,1280.00,445.00
"24730022",405.00,70.00,295.00,45.00
"24730023",435.00,70.00,320.00,50.00
"24730024",300.00,55.00,225.00,20.00
"24730025",585.00,100.00,435.00,50.00
"24730026",460.00,65.00,340.00,60.00
"24730027",1825.00,340.00,1240.00,250.00
"24730028",1040.00,240.00,705.00,95.00
"24730029",490.00,70.00,305.00,115.00
"24730030",360.00,65.00,255.00,45.00
"24730031",445.00,75.00,290.00,90.00
"24730032",605.00,75.00,420.00,110.00
"24730033",1205.00,265.00,810.00,130.00
"24730034",345.00,45.00,215.00,80.00
"24730035",535.00,35.00,245.00,250.00
"24730036",550.00,90.00,340.00,115.00
"24730037",500.00,70.00,330.00,100.00
"24730038",1145.00,95.00,410.00,640.00
"24730039",905.00,110.00,640.00,160.00
"24730040",520.00,80.00,370.00,70.00
"24730041",560.00,75.00,380.00,110.00
"24730042",495.00,50.00,325.00,115.00
"24730043",485.00,70.00,325.00,85.00
"24730044",560.00,70.00,395.00,95.00
"24730045",495.00,65.00,360.00,70.00
"24730046",675.00,50.00,325.00,290.00
"24730047",395.00,25.00,275.00,95.00
"24730048",750.00,70.00,355.00,320.00
"24730049",960.00,65.00,560.00,335.00
"24730050",405.00,50.00,270.00,85.00
"24730051",450.00,45.00,280.00,130.00
"24730052",835.00,50.00,550.00,230.00
"24730053",405.00,35.00,310.00,55.00
"24730054",775.00,85.00,595.00,100.00
"24730055",830.00,100.00,475.00,260.00
"24730056",470.00,70.00,315.00,85.00
"24730057",845.00,145.00,615.00,85.00
"24730058",260.00,30.00,180.00,50.00
"24730059",435.00,65.00,295.00,75.00
"24730060",345.00,50.00,230.00,65.00
"24730061",460.00,80.00,305.00,75.00
"24730062",815.00,65.00,540.00,205.00
"24730063",430.00,60.00,280.00,90.00
"24730064",550.00,60.00,370.00,120.00
"24730065",515.00,80.00,340.00,95.00
"24730066",525.00,90.00,340.00,95.00
"24730067",360.00,70.00,225.00,65.00
"24730068",470.00,90.00,315.00,70.00
"24730069",590.00,110.00,400.00,80.00
"24730070",550.00,65.00,260.00,220.00
"24730071",470.00,75.00,320.00,85.00
"24730072",390.00,65.00,245.00,80.00
"24730073",1190.00,215.00,890.00,85.00
"24730074",490.00,75.00,320.00,100.00
"24730075",450.00,80.00,315.00,50.00
"24730076",595.00,125.00,400.00,80.00
"24730077",505.00,110.00,315.00,75.00
"24730079",530.00,85.00,345.00,95.00
"24730080",545.00,85.00,295.00,165.00
"24730082",755.00,140.00,530.00,85.00
"24730084",720.00,85.00,380.00,260.00
