"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"4210036.00",2765.00,1095.00,580.00,520.00,10.00,1660.00,1405.00,255.00,4835.00,4565.00,620.00,3945.00,270.00,4835.00,4400.00,340.00,100.00,2770.00,710.00,2055.00,0.00,2770.00,2035.00,735.00
"4210037.00",2165.00,790.00,375.00,420.00,10.00,1365.00,1195.00,170.00,3660.00,3325.00,450.00,2875.00,335.00,3660.00,3150.00,435.00,75.00,2125.00,440.00,1685.00,0.00,2125.00,1365.00,760.00
"4210038.01",1485.00,780.00,215.00,560.00,10.00,700.00,610.00,85.00,3185.00,2795.00,635.00,2160.00,390.00,3190.00,2450.00,675.00,65.00,1475.00,280.00,1195.00,0.00,1470.00,1100.00,365.00
"4210038.02",1475.00,605.00,290.00,320.00,10.00,860.00,765.00,95.00,2740.00,2540.00,335.00,2210.00,200.00,2740.00,2370.00,330.00,35.00,1525.00,375.00,1150.00,0.00,1530.00,1040.00,490.00
"4210039.01",2915.00,1990.00,1000.00,990.00,10.00,915.00,830.00,85.00,6465.00,6270.00,1025.00,5250.00,190.00,6465.00,6065.00,355.00,45.00,2925.00,2010.00,915.00,0.00,2930.00,2565.00,360.00
"4210039.02",2670.00,1360.00,745.00,615.00,15.00,1295.00,1120.00,180.00,5095.00,4890.00,665.00,4230.00,205.00,5100.00,4730.00,315.00,50.00,2680.00,780.00,1900.00,0.00,2675.00,1900.00,775.00
"4210040.01",1870.00,1250.00,590.00,665.00,10.00,610.00,560.00,45.00,4250.00,4210.00,825.00,3385.00,40.00,4250.00,4040.00,205.00,10.00,1855.00,1320.00,530.00,0.00,1855.00,1450.00,400.00
"4210040.03",3820.00,2210.00,905.00,1300.00,10.00,1600.00,1380.00,220.00,8235.00,7915.00,1675.00,6240.00,320.00,8230.00,7525.00,590.00,120.00,3835.00,1460.00,2380.00,0.00,3830.00,3200.00,635.00
"4210040.04",290.00,150.00,90.00,65.00,0.00,140.00,125.00,15.00,565.00,550.00,90.00,455.00,15.00,565.00,540.00,20.00,0.00,285.00,125.00,160.00,0.00,285.00,235.00,50.00
"4210041.02",4200.00,2710.00,1335.00,1375.00,5.00,1490.00,1380.00,110.00,8950.00,8795.00,1635.00,7155.00,155.00,8950.00,8415.00,520.00,15.00,4200.00,2615.00,1585.00,0.00,4200.00,3475.00,725.00
"4210041.03",470.00,365.00,170.00,205.00,5.00,90.00,85.00,10.00,1125.00,1115.00,180.00,935.00,15.00,1130.00,1105.00,25.00,0.00,455.00,415.00,40.00,0.00,455.00,400.00,50.00
"4210041.04",2565.00,1820.00,805.00,1020.00,15.00,720.00,655.00,70.00,5985.00,5910.00,1180.00,4735.00,75.00,5985.00,5765.00,220.00,0.00,2575.00,1905.00,670.00,0.00,2575.00,2270.00,310.00
"4210041.05",3685.00,2635.00,1160.00,1480.00,20.00,1030.00,965.00,65.00,8925.00,8805.00,2070.00,6735.00,120.00,8925.00,8570.00,355.00,10.00,3690.00,2445.00,1245.00,0.00,3685.00,3110.00,575.00
"4210041.06",1630.00,1310.00,530.00,780.00,5.00,310.00,270.00,40.00,4400.00,4325.00,1025.00,3295.00,75.00,4400.00,4220.00,170.00,10.00,1615.00,1425.00,180.00,0.00,1610.00,1465.00,145.00
"4210041.07",1050.00,700.00,345.00,355.00,5.00,345.00,300.00,40.00,2260.00,2210.00,380.00,1825.00,50.00,2260.00,2145.00,120.00,0.00,1040.00,660.00,375.00,0.00,1040.00,900.00,135.00
"4210041.08",1155.00,775.00,375.00,400.00,5.00,375.00,345.00,25.00,2550.00,2535.00,470.00,2065.00,15.00,2550.00,2465.00,85.00,0.00,1165.00,710.00,450.00,0.00,1165.00,1005.00,155.00
"4210041.09",1185.00,645.00,320.00,325.00,5.00,530.00,450.00,75.00,2305.00,2235.00,400.00,1835.00,70.00,2305.00,2140.00,140.00,30.00,1170.00,505.00,660.00,0.00,1165.00,985.00,185.00
"4210100.00",865.00,510.00,335.00,180.00,5.00,350.00,330.00,20.00,1680.00,1670.00,220.00,1450.00,10.00,1680.00,1515.00,160.00,0.00,885.00,615.00,270.00,0.00,885.00,725.00,160.00
"4210101.00",1675.00,1275.00,515.00,765.00,0.00,390.00,365.00,25.00,4285.00,4160.00,855.00,3310.00,125.00,4285.00,3835.00,395.00,60.00,1670.00,1455.00,215.00,0.00,1665.00,1475.00,190.00
"4210102.00",840.00,480.00,190.00,285.00,0.00,360.00,310.00,45.00,1780.00,1680.00,355.00,1325.00,105.00,1785.00,1550.00,205.00,25.00,825.00,425.00,400.00,0.00,825.00,680.00,140.00
"4210103.00",1355.00,720.00,375.00,340.00,5.00,635.00,600.00,35.00,2790.00,2635.00,425.00,2210.00,155.00,2795.00,2460.00,285.00,50.00,1350.00,760.00,590.00,0.00,1350.00,1125.00,220.00
"4210110.00",1640.00,1165.00,535.00,630.00,5.00,475.00,430.00,45.00,3885.00,3795.00,750.00,3045.00,90.00,3880.00,3480.00,370.00,30.00,1635.00,1335.00,300.00,0.00,1635.00,1430.00,205.00
"4210111.00",2120.00,1235.00,580.00,655.00,10.00,880.00,800.00,75.00,4580.00,4210.00,730.00,3480.00,370.00,4580.00,3805.00,680.00,85.00,2125.00,1170.00,955.00,0.00,2120.00,1815.00,305.00
"4210112.01",2590.00,1515.00,890.00,620.00,5.00,1070.00,950.00,120.00,5080.00,4690.00,560.00,4135.00,385.00,5080.00,4310.00,635.00,130.00,2585.00,1825.00,755.00,0.00,2580.00,2170.00,415.00
"4210112.02",2080.00,1005.00,465.00,540.00,0.00,1070.00,930.00,140.00,4150.00,3510.00,600.00,2910.00,640.00,4155.00,3210.00,790.00,160.00,2085.00,530.00,1555.00,0.00,2085.00,1545.00,540.00
"4210113.01",4040.00,1745.00,1135.00,615.00,5.00,2290.00,2175.00,120.00,6680.00,6220.00,520.00,5700.00,460.00,6680.00,5745.00,850.00,90.00,4045.00,1895.00,2145.00,0.00,4040.00,3100.00,940.00
"4210113.02",3090.00,1970.00,955.00,1015.00,5.00,1110.00,1010.00,100.00,6810.00,6535.00,1210.00,5330.00,270.00,6810.00,5995.00,745.00,65.00,3090.00,2120.00,970.00,0.00,3090.00,2605.00,485.00
"4210114.00",3195.00,1515.00,750.00,765.00,10.00,1670.00,1460.00,215.00,6080.00,5530.00,765.00,4770.00,550.00,6080.00,4945.00,1020.00,115.00,3195.00,1315.00,1885.00,0.00,3190.00,2420.00,775.00
"4210115.00",1775.00,785.00,500.00,290.00,5.00,985.00,860.00,125.00,3165.00,2920.00,205.00,2710.00,245.00,3165.00,2640.00,450.00,75.00,1775.00,685.00,1090.00,0.00,1775.00,1305.00,470.00
"4210116.00",4255.00,1370.00,895.00,475.00,10.00,2870.00,2065.00,805.00,7480.00,6525.00,550.00,5975.00,955.00,7475.00,5895.00,1065.00,520.00,4255.00,850.00,3400.00,0.00,4245.00,2420.00,1825.00
"4210117.01",1295.00,755.00,350.00,405.00,5.00,535.00,425.00,110.00,2840.00,2520.00,355.00,2160.00,320.00,2840.00,2240.00,550.00,45.00,1235.00,665.00,570.00,0.00,1235.00,925.00,310.00
"4210117.02",2775.00,1045.00,680.00,360.00,5.00,1720.00,1480.00,240.00,4640.00,4135.00,375.00,3760.00,510.00,4640.00,3765.00,620.00,255.00,2770.00,990.00,1775.00,0.00,2765.00,1950.00,810.00
"4210118.00",3045.00,1500.00,750.00,750.00,10.00,1530.00,1210.00,315.00,6270.00,5720.00,870.00,4845.00,550.00,6270.00,5100.00,1050.00,125.00,3105.00,1110.00,1995.00,0.00,3100.00,2445.00,655.00
"4210119.02",2075.00,1395.00,710.00,685.00,10.00,670.00,615.00,50.00,4625.00,4610.00,770.00,3840.00,15.00,4625.00,4510.00,115.00,0.00,2085.00,1710.00,375.00,0.00,2060.00,1820.00,240.00
"4210119.03",3280.00,2415.00,935.00,1480.00,10.00,855.00,785.00,75.00,8205.00,8115.00,1720.00,6395.00,90.00,8205.00,7640.00,555.00,15.00,3285.00,2910.00,380.00,0.00,3285.00,2915.00,365.00
