"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"4210340.03",5335.00,945.00,3695.00,215.00,35.00,105.00,70.00
"4210360.01",7135.00,1555.00,4705.00,435.00,115.00,230.00,90.00
"4210360.02",7130.00,1750.00,4665.00,200.00,45.00,105.00,45.00
"4210370.00",7765.00,2100.00,4875.00,290.00,60.00,170.00,50.00
"4210500.00",7440.00,1880.00,4635.00,225.00,35.00,110.00,75.00
"4210510.00",3650.00,745.00,2375.00,200.00,30.00,100.00,70.00
"4210520.00",7310.00,2085.00,4645.00,335.00,80.00,185.00,75.00
"4210530.00",3990.00,825.00,2465.00,300.00,40.00,165.00,90.00
"4210540.00",6965.00,1160.00,4020.00,500.00,70.00,225.00,200.00
"4210600.03",2285.00,435.00,1445.00,145.00,15.00,85.00,45.00
"4210600.04",7265.00,1720.00,4720.00,245.00,55.00,145.00,45.00
"4210600.05",3635.00,645.00,2465.00,120.00,15.00,90.00,10.00
"4210600.06",5080.00,1000.00,3330.00,110.00,10.00,80.00,20.00
"4210605.00",9895.00,2460.00,6270.00,495.00,105.00,275.00,120.00
"4210610.00",6015.00,1890.00,3835.00,125.00,45.00,65.00,20.00
"4210700.00",2785.00,625.00,1590.00,175.00,20.00,65.00,85.00
"4210800.01",5990.00,1045.00,3900.00,535.00,75.00,305.00,145.00
"4210800.02",5430.00,940.00,3380.00,400.00,55.00,230.00,110.00
"4210801.00",3300.00,525.00,2155.00,615.00,75.00,380.00,155.00
"4210802.00",2700.00,435.00,1660.00,300.00,45.00,170.00,80.00
"4210810.00",4020.00,530.00,2250.00,695.00,90.00,370.00,240.00
"4210811.00",7575.00,1380.00,4725.00,920.00,170.00,540.00,210.00
"4210812.00",3655.00,475.00,2325.00,580.00,75.00,365.00,140.00
"4210820.01",4140.00,565.00,2515.00,380.00,45.00,220.00,115.00
"4210820.03",5355.00,1000.00,3470.00,275.00,35.00,140.00,100.00
"4210820.04",4430.00,1135.00,2810.00,235.00,55.00,130.00,50.00
"4210825.00",7825.00,1755.00,5160.00,395.00,70.00,190.00,135.00
"4210830.01",4455.00,760.00,2775.00,455.00,80.00,250.00,125.00
"4210830.02",6915.00,1055.00,4245.00,535.00,60.00,290.00,185.00
"4210835.03",7315.00,1865.00,4670.00,275.00,45.00,150.00,80.00
"4210835.04",4225.00,1035.00,2820.00,165.00,35.00,85.00,45.00
"4210835.05",4120.00,825.00,2795.00,110.00,20.00,50.00,40.00
"4210835.06",3280.00,950.00,2100.00,140.00,40.00,65.00,35.00
"4210835.07",4670.00,965.00,3020.00,195.00,35.00,105.00,65.00
"4210840.01",5100.00,785.00,3350.00,620.00,100.00,375.00,145.00
"4210840.02",4300.00,720.00,2775.00,275.00,55.00,150.00,80.00
"4210845.03",4655.00,1230.00,2940.00,240.00,65.00,125.00,50.00
"4210845.04",4615.00,1140.00,2925.00,245.00,40.00,110.00,95.00
"4210845.05",6595.00,1735.00,4080.00,425.00,80.00,240.00,110.00
"4210845.06",1190.00,250.00,760.00,100.00,25.00,45.00,30.00
"4210846.02",6250.00,1435.00,3940.00,315.00,70.00,150.00,90.00
"4210846.03",1245.00,285.00,745.00,55.00,15.00,35.00,10.00
"4210846.04",8150.00,2110.00,4990.00,320.00,75.00,160.00,85.00
"4210850.02",2630.00,685.00,1620.00,145.00,30.00,75.00,40.00
"4210850.03",3860.00,920.00,2365.00,135.00,35.00,75.00,25.00
"4210850.04",4610.00,1270.00,2960.00,160.00,45.00,85.00,30.00
"4210850.05",4235.00,1205.00,2475.00,110.00,15.00,45.00,45.00
"4210900.00",5570.00,1370.00,3370.00,355.00,55.00,150.00,150.00
"4210901.00",4395.00,935.00,2765.00,265.00,45.00,145.00,70.00
"4210902.00",1570.00,325.00,895.00,140.00,30.00,80.00,30.00
"4330000.00",205730.00,40805.00,128710.00,33980.00,6100.00,21020.00,6865.00
"4330001.00",5180.00,915.00,3220.00,1195.00,255.00,700.00,240.00
"4330002.00",1585.00,280.00,1160.00,600.00,110.00,430.00,60.00
"4330003.00",3015.00,500.00,2105.00,1400.00,260.00,930.00,215.00
"4330004.00",4335.00,785.00,2850.00,1640.00,330.00,1010.00,305.00
"4330005.00",1950.00,290.00,1415.00,665.00,85.00,490.00,85.00
"4330006.00",2400.00,260.00,1680.00,800.00,70.00,620.00,115.00
"4330007.00",2240.00,310.00,1595.00,550.00,35.00,480.00,40.00
"4330008.00",2960.00,600.00,1755.00,455.00,110.00,300.00,45.00
"4330009.01",4050.00,960.00,2555.00,250.00,70.00,140.00,40.00
"4330009.02",5270.00,470.00,2755.00,1085.00,95.00,580.00,410.00
"4330010.00",3295.00,465.00,1810.00,410.00,50.00,255.00,105.00
"4330011.00",1845.00,240.00,1285.00,465.00,35.00,335.00,95.00
"4330012.00",1515.00,125.00,1250.00,645.00,30.00,535.00,80.00
"4330013.00",1620.00,110.00,1320.00,930.00,65.00,735.00,130.00
"4330014.00",2950.00,340.00,1935.00,1045.00,100.00,665.00,275.00
"4330015.01",2650.00,365.00,1575.00,605.00,75.00,345.00,185.00
"4330015.02",5540.00,1035.00,3540.00,2165.00,495.00,1330.00,340.00
"4330016.00",3985.00,590.00,2600.00,1205.00,215.00,770.00,220.00
"4330017.00",2585.00,330.00,1760.00,930.00,110.00,675.00,140.00
"4330018.00",4760.00,830.00,3095.00,815.00,145.00,555.00,115.00
"4330019.01",5590.00,900.00,3345.00,835.00,165.00,455.00,210.00
"4330019.02",6935.00,1245.00,3960.00,885.00,230.00,495.00,165.00
"4330100.00",5110.00,1010.00,3075.00,1010.00,140.00,655.00,210.00
"4330110.01",4140.00,1005.00,2505.00,345.00,80.00,165.00,100.00
"4330110.03",6390.00,1625.00,4120.00,345.00,75.00,220.00,50.00
"4330110.04",5585.00,1320.00,3510.00,425.00,95.00,225.00,115.00
"4330110.06",6430.00,1575.00,4065.00,470.00,120.00,255.00,100.00
"4330110.07",7055.00,1805.00,4370.00,530.00,150.00,270.00,105.00
"4330111.01",7060.00,1360.00,4835.00,1980.00,410.00,1335.00,240.00
"4330111.02",1130.00,265.00,685.00,55.00,10.00,35.00,10.00
"4330111.05",4785.00,1060.00,3070.00,295.00,65.00,160.00,65.00
"4330111.06",3425.00,725.00,2155.00,220.00,50.00,105.00,65.00
"4330111.07",7150.00,1705.00,4525.00,950.00,240.00,515.00,205.00
"4330111.08",4975.00,1110.00,3130.00,415.00,75.00,260.00,80.00
"4330112.01",2945.00,620.00,1870.00,250.00,35.00,145.00,70.00
"4330112.02",3145.00,815.00,1975.00,285.00,65.00,135.00,80.00
"4330113.01",5405.00,1385.00,3390.00,290.00,65.00,130.00,95.00
"4330113.02",6270.00,1860.00,3900.00,385.00,115.00,210.00,60.00
"4330200.00",1570.00,265.00,920.00,170.00,25.00,115.00,35.00
"4330201.00",2750.00,715.00,1610.00,355.00,95.00,200.00,65.00
"4330202.00",2415.00,560.00,1450.00,300.00,60.00,140.00,95.00
"4330300.01",6240.00,1475.00,3860.00,595.00,130.00,315.00,155.00
"4330300.02",4035.00,995.00,2465.00,275.00,60.00,155.00,60.00
"4330400.01",5880.00,1025.00,3475.00,545.00,100.00,295.00,150.00
"4330400.02",5730.00,1025.00,3580.00,1090.00,195.00,640.00,250.00
"4330400.03",5960.00,985.00,3365.00,1475.00,235.00,795.00,445.00
"4330400.04",7995.00,1430.00,4515.00,855.00,160.00,455.00,240.00
"4330401.00",1620.00,350.00,1025.00,175.00,40.00,85.00,55.00
"4330402.00",4305.00,790.00,2705.00,325.00,60.00,190.00,75.00
"4420000.00",149965.00,26525.00,93725.00,25880.00,4405.00,15225.00,6255.00
"4420001.00",2105.00,325.00,1455.00,1115.00,210.00,750.00,150.00
"4420002.00",2375.00,155.00,1645.00,970.00,65.00,690.00,215.00
"4420003.00",2310.00,220.00,1640.00,1085.00,95.00,750.00,240.00
"4420004.00",4140.00,530.00,2750.00,1110.00,185.00,720.00,210.00
"4420005.00",1725.00,230.00,1170.00,800.00,115.00,540.00,145.00
"4420006.00",2085.00,320.00,1315.00,670.00,120.00,445.00,105.00
"4420007.00",2245.00,320.00,1500.00,510.00,70.00,335.00,105.00
"4420008.00",2075.00,225.00,1435.00,670.00,65.00,545.00,55.00
"4420009.00",1725.00,250.00,800.00,875.00,140.00,390.00,340.00
"4420010.00",3565.00,520.00,2220.00,810.00,105.00,625.00,90.00
"4420011.00",2430.00,430.00,1395.00,360.00,80.00,225.00,60.00
"4420012.01",2700.00,340.00,1515.00,755.00,140.00,480.00,130.00
"4420012.02",4125.00,555.00,2220.00,905.00,165.00,450.00,285.00
"4420013.01",7185.00,1575.00,4645.00,520.00,95.00,300.00,125.00
"4420013.02",3745.00,705.00,2480.00,320.00,80.00,185.00,65.00
"4420013.03",3260.00,605.00,2080.00,310.00,90.00,165.00,55.00
"4420100.01",6530.00,1005.00,4080.00,1530.00,295.00,820.00,410.00
"4420100.02",4170.00,645.00,2670.00,395.00,70.00,210.00,115.00
"4420101.02",6990.00,1415.00,4390.00,620.00,120.00,345.00,155.00
"4420101.03",3740.00,610.00,2210.00,335.00,70.00,180.00,85.00
"4420101.04",4600.00,1010.00,2985.00,195.00,60.00,105.00,30.00
"4420102.00",8895.00,2130.00,5470.00,750.00,140.00,390.00,215.00
"4420200.00",4965.00,755.00,3025.00,1485.00,240.00,875.00,365.00
"4420201.00",2625.00,410.00,1565.00,780.00,135.00,440.00,205.00
"4420202.00",2055.00,275.00,1200.00,685.00,95.00,380.00,210.00
"4420203.00",2545.00,380.00,1530.00,705.00,110.00,415.00,180.00
"4420204.00",4455.00,645.00,2680.00,835.00,100.00,420.00,315.00
"4420205.01",6460.00,1255.00,4040.00,525.00,120.00,275.00,125.00
"4420205.02",4850.00,960.00,2780.00,615.00,100.00,325.00,190.00
"4420205.03",3660.00,575.00,2385.00,620.00,125.00,360.00,140.00
"4420210.00",7155.00,1410.00,4565.00,785.00,165.00,425.00,195.00
"4420211.00",7510.00,1435.00,4890.00,610.00,125.00,325.00,160.00
"4420212.00",3265.00,800.00,2045.00,380.00,75.00,210.00,95.00
"4420213.00",1735.00,260.00,1070.00,205.00,30.00,95.00,75.00
"4420300.01",,,,,,,
"4420300.02",7565.00,1615.00,4705.00,830.00,185.00,420.00,220.00
"4420301.00",,,,,,,
"4420302.00",5025.00,955.00,3085.00,670.00,105.00,310.00,250.00
"4420303.00",530.00,85.00,335.00,105.00,20.00,50.00,30.00
"4420304.00",2790.00,585.00,1735.00,440.00,95.00,235.00,115.00
"4470000.00",92870.00,19405.00,57650.00,14975.00,2875.00,8520.00,3580.00
"4470001.01",4720.00,940.00,3030.00,630.00,150.00,340.00,145.00
"4470001.02",2825.00,230.00,1500.00,495.00,40.00,210.00,245.00
"4470002.00",3655.00,535.00,2120.00,680.00,130.00,370.00,175.00
"4470003.00",5740.00,870.00,3480.00,2150.00,300.00,1260.00,595.00
"4470004.00",3440.00,590.00,2080.00,775.00,170.00,450.00,160.00
"4470005.00",6000.00,1335.00,3665.00,905.00,225.00,495.00,180.00
"4470006.00",4680.00,750.00,2885.00,1240.00,205.00,770.00,265.00
"4470007.00",4275.00,680.00,2760.00,1690.00,300.00,1090.00,295.00
"4470008.00",7030.00,1195.00,4315.00,1205.00,205.00,705.00,290.00
"4470009.00",9965.00,2500.00,6365.00,830.00,210.00,465.00,155.00
"4470010.00",7515.00,1750.00,4765.00,635.00,120.00,360.00,155.00
"4470011.00",4705.00,1250.00,2875.00,560.00,140.00,290.00,135.00
"4470012.00",1630.00,290.00,1060.00,265.00,50.00,145.00,70.00
"4470013.00",1390.00,410.00,810.00,105.00,20.00,55.00,35.00
"4470014.00",5905.00,1485.00,3765.00,605.00,150.00,330.00,125.00
"4470015.00",5820.00,1370.00,3750.00,550.00,105.00,315.00,130.00
"4470100.00",800.00,220.00,485.00,80.00,10.00,35.00,30.00
"4470101.00",4905.00,1245.00,3055.00,510.00,120.00,270.00,125.00
"4470102.00",2540.00,610.00,1600.00,355.00,90.00,180.00,85.00
"4470103.00",1430.00,320.00,865.00,180.00,30.00,90.00,55.00
"4470104.00",950.00,185.00,595.00,105.00,15.00,55.00,40.00
"4470105.00",760.00,205.00,445.00,75.00,20.00,40.00,15.00
"4470106.00",1295.00,240.00,800.00,220.00,35.00,130.00,55.00
"4470107.00",905.00,215.00,590.00,130.00,35.00,70.00,25.00
"4500000.00",82745.00,16570.00,50620.00,11645.00,2315.00,6330.00,3000.00
"4500001.00",7215.00,1780.00,4320.00,535.00,150.00,280.00,100.00
"4500002.00",7435.00,1690.00,4405.00,655.00,170.00,340.00,150.00
"4500003.00",,,,,,,
"4500004.00",5640.00,1085.00,3650.00,1280.00,290.00,780.00,210.00
"4500005.00",3750.00,470.00,2485.00,1865.00,280.00,1200.00,385.00
"4500006.00",2930.00,505.00,1740.00,660.00,145.00,360.00,155.00
"4500007.00",2740.00,475.00,1695.00,750.00,130.00,450.00,165.00
"4500008.00",2090.00,340.00,1260.00,335.00,75.00,165.00,100.00
"4500009.00",4770.00,1000.00,2995.00,385.00,70.00,190.00,120.00
"4500010.00",4215.00,765.00,2755.00,1110.00,260.00,595.00,260.00
"4500011.00",3735.00,375.00,1520.00,900.00,95.00,300.00,500.00
"4500012.00",3975.00,660.00,2365.00,525.00,90.00,255.00,175.00
"4500013.00",3420.00,620.00,1995.00,140.00,20.00,70.00,55.00
"4500014.00",2695.00,570.00,1715.00,130.00,25.00,70.00,35.00
"4500015.00",4715.00,1090.00,3025.00,200.00,20.00,110.00,75.00
"4500016.00",4650.00,970.00,3015.00,415.00,80.00,225.00,115.00
"4500100.00",8980.00,1935.00,5430.00,785.00,185.00,435.00,165.00
"4500200.00",3080.00,780.00,2030.00,215.00,70.00,115.00,30.00
"4500201.00",2885.00,615.00,1800.00,300.00,55.00,160.00,85.00
"4500202.00",3795.00,840.00,2390.00,445.00,100.00,230.00,115.00
"4620000.00",4009790.00,819410.00,2588755.00,614140.00,128620.00,381885.00,103635.00
"4620001.00",2565.00,395.00,1755.00,485.00,85.00,325.00,75.00
"4620002.00",3485.00,630.00,2295.00,710.00,150.00,410.00,150.00
"4620003.00",6295.00,1170.00,4115.00,1155.00,270.00,720.00,165.00
"4620004.00",3090.00,455.00,2120.00,585.00,85.00,395.00,110.00
"4620005.00",3015.00,460.00,2030.00,595.00,100.00,390.00,115.00
"4620006.00",4410.00,935.00,2940.00,1185.00,335.00,735.00,115.00
