"COL0","COL1","COL2"
"4620242.00",24.60,22.60
"4620243.00",22.20,24.30
"4620244.00",19.90,12.80
"4620245.00",23.30,10.50
"4620247.00",17.00,5.70
"4620249.00",20.30,15.20
"4620250.00",16.90,11.30
"4620251.01",20.70,19.00
"4620251.02",26.10,21.20
"4620252.00",26.30,28.00
"4620253.00",21.70,24.70
"4620254.00",22.60,22.50
"4620256.00",19.50,22.60
"4620257.00",21.00,22.80
"4620258.00",32.10,41.50
"4620259.00",29.80,33.30
"4620260.00",19.70,24.40
"4620261.00",22.90,27.20
"4620262.00",22.30,27.10
"4620263.00",18.50,21.00
"4620264.01",10.50,15.80
"4620264.02",12.50,18.00
"4620265.00",13.40,6.30
"4620266.00",22.40,19.40
"4620267.00",14.30,17.10
"4620268.01",20.50,25.80
"4620268.02",20.40,24.90
"4620268.03",,
"4620269.00",24.70,27.60
"4620270.00",19.00,13.60
"4620271.00",7.00,4.10
"4620272.00",18.10,19.20
"4620273.00",15.00,15.70
"4620274.00",15.30,13.90
"4620275.00",16.90,14.40
"4620276.00",18.00,15.20
"4620277.00",22.10,20.50
"4620278.00",17.30,13.40
"4620279.00",17.10,13.20
"4620280.00",17.20,13.40
"4620281.00",7.80,6.10
"4620282.00",19.70,20.70
"4620283.01",11.50,11.70
"4620283.02",17.70,17.50
"4620284.00",15.70,15.90
"4620285.00",19.20,21.30
"4620286.00",22.10,23.20
"4620287.01",29.00,25.60
"4620287.02",12.90,13.50
"4620288.00",4.00,3.90
"4620290.01",8.70,9.80
"4620290.02",7.40,9.10
"4620290.03",11.50,14.70
"4620290.04",9.80,12.70
"4620290.05",9.10,8.80
"4620290.06",10.40,15.80
"4620290.07",12.40,14.80
"4620290.08",6.50,8.50
"4620290.09",9.40,16.40
"4620291.01",6.00,4.70
"4620291.03",4.30,3.40
"4620291.04",3.50,3.40
"4620300.00",29.10,25.90
"4620301.00",18.80,18.90
"4620302.00",24.70,23.30
"4620303.00",25.40,24.60
"4620304.00",24.10,21.20
"4620305.00",20.30,17.20
"4620306.00",21.60,24.40
"4620307.00",27.50,34.00
"4620308.00",20.80,25.00
"4620309.00",12.10,12.50
