"COL0","COL1","COL2"
"24210043",5.20,7.70
"24210044",2.00,0.00
"24210045",1.40,0.00
"24210046",1.40,0.00
"24210047",1.50,0.00
"24210048",1.00,0.00
"24210049",4.10,0.00
"24210050",4.80,0.00
"24210051",3.30,3.40
"24210052",4.00,5.00
"24210053",2.20,6.70
"24210054",0.00,0.00
"24210055",,
"24210056",3.10,0.00
"24210057",8.60,0.00
"24210058",3.00,0.00
"24210059",6.00,8.00
"24210060",4.20,6.70
"24210061",2.40,0.00
"24210062",2.20,6.70
"24210063",1.80,0.00
"24210064",4.50,0.00
"24210065",1.60,3.10
"24210066",6.70,5.60
"24210067",1.40,0.00
"24210068",1.20,0.00
"24210069",2.60,0.00
"24210070",3.30,5.60
"24210071",5.40,5.90
"24210072",4.10,3.80
"24210073",0.90,0.00
"24210074",0.70,0.00
"24210075",1.00,0.00
"24210076",1.10,0.90
"24210077",3.60,0.00
"24210078",0.00,0.00
"24210079",1.50,0.00
"24210080",2.70,2.90
"24210081",2.60,0.00
"2422",1.80,1.20
"24220036",,
"24220037",2.80,0.00
"24220038",1.10,1.40
"24220039",1.80,0.00
"24220040",2.90,0.00
"24220041",3.10,2.80
"24220042",3.20,2.20
"24220043",2.60,0.00
"24220044",2.70,0.00
"24220045",1.60,0.00
"24220046",1.70,0.00
"24220047",1.90,1.40
"24220048",1.70,0.00
"24220049",0.60,0.00
"24220050",0.70,2.60
"24220051",3.10,2.90
"24220052",5.60,0.00
"24220053",1.10,4.30
"24220055",7.30,0.00
"24220056",2.40,0.00
"24220057",1.80,2.10
"24220058",,
"24220059",2.70,0.00
"24220060",2.60,0.00
"24220061",3.00,2.00
"24220062",0.80,1.20
"24220063",4.80,5.90
"24220064",2.30,2.60
"24220065",0.60,0.00
"24220066",2.30,0.00
"24220067",2.00,2.50
"24220068",0.40,0.50
"24220069",1.90,0.00
"24220070",2.50,2.90
"24220071",2.10,2.00
"24220072",1.10,0.00
"24220073",2.40,2.30
"24220074",1.50,0.00
"24220075",1.00,0.00
"24220076",1.10,4.80
"24220077",0.90,1.70
"24220078",0.70,0.80
"24220079",1.50,1.70
"24220080",0.00,0.00
"24220081",0.90,0.00
