"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5941015",4930.00,4830.00,950.00,3875.00,100.00,4930.00,4435.00,495.00,0.00,4210.00,1145.00,1360.00,1710.00,4210.00,2445.00,2170.00,280.00,1760.00,1985.00,1730.00,155.00,0.00,65.00,0.00,15.00,2120.00,1900.00,225.00,0.00,4930.00,950.00,2950.00,1030.00,595.00,105.00,340.00,145.00
"5941016",1560.00,1540.00,315.00,1230.00,20.00,1560.00,1350.00,205.00,0.00,1290.00,360.00,350.00,585.00,1290.00,485.00,385.00,100.00,805.00,290.00,240.00,25.00,0.00,15.00,0.00,0.00,735.00,640.00,90.00,0.00,1555.00,315.00,900.00,340.00,480.00,120.00,295.00,65.00
"5941017",4170.00,4050.00,585.00,3465.00,115.00,4170.00,3640.00,520.00,0.00,3705.00,945.00,1010.00,1755.00,3705.00,1945.00,1795.00,150.00,1760.00,1450.00,1275.00,100.00,0.00,50.00,0.00,0.00,1885.00,1740.00,145.00,0.00,4165.00,585.00,2530.00,1055.00,810.00,105.00,555.00,150.00
"5941019",6240.00,6145.00,1335.00,4805.00,100.00,6240.00,5860.00,380.00,0.00,5190.00,1450.00,1400.00,2335.00,5190.00,3215.00,2890.00,325.00,1970.00,2615.00,2340.00,135.00,0.00,110.00,0.00,15.00,2540.00,2220.00,315.00,0.00,6240.00,1335.00,3955.00,945.00,820.00,175.00,475.00,175.00
"5941021",4005.00,3860.00,780.00,3080.00,145.00,4005.00,3660.00,345.00,0.00,3380.00,855.00,945.00,1575.00,3380.00,2315.00,2045.00,270.00,1065.00,1865.00,1650.00,150.00,0.00,30.00,0.00,25.00,1705.00,1545.00,160.00,0.00,4005.00,790.00,2585.00,630.00,535.00,85.00,330.00,125.00
"5941025",255.00,260.00,55.00,200.00,0.00,255.00,215.00,45.00,0.00,230.00,75.00,75.00,85.00,230.00,155.00,120.00,35.00,70.00,110.00,80.00,0.00,0.00,10.00,0.00,0.00,120.00,55.00,65.00,0.00,260.00,55.00,195.00,10.00,55.00,0.00,30.00,10.00
"5941026",1215.00,1140.00,260.00,880.00,70.00,1210.00,1110.00,100.00,0.00,990.00,255.00,385.00,350.00,990.00,635.00,570.00,65.00,355.00,515.00,465.00,40.00,0.00,0.00,0.00,0.00,455.00,370.00,80.00,0.00,1210.00,270.00,855.00,85.00,200.00,70.00,125.00,0.00
"5941027",1440.00,1390.00,170.00,1220.00,55.00,1440.00,1280.00,165.00,0.00,1325.00,425.00,330.00,575.00,1325.00,885.00,765.00,115.00,445.00,650.00,625.00,15.00,0.00,0.00,0.00,0.00,640.00,555.00,90.00,0.00,1440.00,175.00,975.00,300.00,250.00,30.00,155.00,60.00
"5941039",590.00,525.00,110.00,415.00,70.00,590.00,455.00,130.00,0.00,485.00,155.00,85.00,245.00,485.00,320.00,275.00,45.00,165.00,170.00,115.00,0.00,0.00,40.00,0.00,0.00,295.00,230.00,65.00,0.00,590.00,125.00,320.00,145.00,355.00,120.00,185.00,50.00
"5941801",,,,,,,,,,285.00,120.00,65.00,100.00,280.00,160.00,95.00,65.00,120.00,90.00,60.00,0.00,0.00,25.00,0.00,0.00,115.00,10.00,10.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
