"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"3228","14111","Total","24320","Female",2011
"3229","14112","Total","23505","Female",2011
"3230","14113","Total","33015","Female",2011
"3231","14114","Total","20745","Female",2011
"3232","14121","Total","74945","Female",2011
"3233","14122","Total","61205","Female",2011
"3234","15111","Total","17385","Female",2011
"3235","15121","Total","22880","Female",2011
"3236","15131","Total","20415","Female",2011
"3237","15141","Total","16100","Female",2011
"3238","15151","Total","53600","Female",2011
"3239","15161","Total","67450","Female",2011
"3240","15171","Total","78160","Female",2011
"3241","16111","Total","63950","Female",2011
"3242","16112","Total","40425","Female",2011
"3243","16121","Total","32195","Female",2011
"3244","16122","Total","57220","Female",2011
"3245","16211","Total","32300","Female",2011
"3246","16212","Total","35400","Female",2011
"3247","16213","Total","58415","Female",2011
"3248","16221","Total","55765","Female",2011
"3249","16222","Total","43090","Female",2011
"3250","16223","Total","7490","Female",2011
"3251","16231","Total","25915","Female",2011
"3252","16311","Total","70375","Female",2011
"3253","16321","Total","28810","Female",2011
"3254","16331","Total","10540","Female",2011
"3255","16341","Total","35060","Female",2011
"3256","16342","Total","50155","Female",2011
"3257","16343","Total","12785","Female",2011
"3258","17011","Total","3300","Female",2011
"3259","17012","Total","2680","Female",2011
"3260","18011","Total","7770","Female",2011
"3261","1111","/0-4years;Females","475","Female",2011
"3262","1121","/0-4years;Females","915","Female",2011
"3263","1131","/0-4years;Females","455","Female",2011
"3264","1141","/0-4years;Females","175","Female",2011
"3265","1151","/0-4years;Females","1265","Female",2011
"3266","1161","/0-4years;Females","455","Female",2011
"3267","1171","/0-4years;Females","450","Female",2011
"3268","1181","/0-4years;Females","400","Female",2011
"3269","2111","/0-4years;Females","850","Female",2011
"3270","2121","/0-4years;Females","680","Female",2011
"3271","2131","/0-4years;Females","1375","Female",2011
"3272","2141","/0-4years;Females","1580","Female",2011
"3273","2151","/0-4years;Females","1765","Female",2011
"3274","2161","/0-4years;Females","520","Female",2011
"3275","3111","/0-4years;Females","1365","Female",2011
"3276","3121","/0-4years;Females","1400","Female",2011
"3277","3122","/0-4years;Females","1205","Female",2011
"3278","3123","/0-4years;Females","1275","Female",2011
"3279","3124","/0-4years;Females","520","Female",2011
"3280","3125","/0-4years;Females","425","Female",2011
"3281","3126","/0-4years;Females","1185","Female",2011
"3282","3131","/0-4years;Females","3340","Female",2011
"3283","3132","/0-4years;Females","3065","Female",2011
"3284","3133","/0-4years;Females","2110","Female",2011
"3285","3134","/0-4years;Females","905","Female",2011
"3286","3141","/0-4years;Females","285","Female",2011
"3287","3142","/0-4years;Females","375","Female",2011
"3288","4111","/0-4years;Females","475","Female",2011
"3289","4121","/0-4years;Females","245","Female",2011
"3290","4122","/0-4years;Females","280","Female",2011
"3291","4131","/0-4years;Females","470","Female",2011
"3292","4141","/0-4years;Females","1295","Female",2011
"3293","4151","/0-4years;Females","1945","Female",2011
"3294","4152","/0-4years;Females","1070","Female",2011
"3295","4161","/0-4years;Females","555","Female",2011
"3296","4162","/0-4years;Females","500","Female",2011
"3297","4171","/0-4years;Females","2750","Female",2011
"3298","4181","/0-4years;Females","1890","Female",2011
"3299","4182","/0-4years;Females","640","Female",2011
"3300","5111","/0-4years;Females","1305","Female",2011
"3301","5121","/0-4years;Females","2615","Female",2011
"3302","5131","/0-4years;Females","1040","Female",2011
"3303","5141","/0-4years;Females","550","Female",2011
"3304","5151","/0-4years;Females","4125","Female",2011
"3305","5161","/0-4years;Females","830","Female",2011
"3306","5171","/0-4years;Females","385","Female",2011
"3307","5181","/0-4years;Females","590","Female",2011
"3308","5191","/0-4years;Females","650","Female",2011
"3309","6111","/0-4years;Females","1660","Female",2011
"3310","6112","/0-4years;Females","2270","Female",2011
"3311","6113","/0-4years;Females","1140","Female",2011
"3312","6121","/0-4years;Females","1585","Female",2011
"3313","6122","/0-4years;Females","2065","Female",2011
"3314","6211","/0-4years;Females","1375","Female",2011
"3315","6212","/0-4years;Females","2035","Female",2011
"3316","6221","/0-4years;Females","1065","Female",2011
"3317","6222","/0-4years;Females","1390","Female",2011
"3318","6223","/0-4years;Females","1055","Female",2011
"3319","6224","/0-4years;Females","1590","Female",2011
"3320","6225","/0-4years;Females","840","Female",2011
"3321","6311","/0-4years;Females","670","Female",2011
"3322","6312","/0-4years;Females","815","Female",2011
"3323","6313","/0-4years;Females","1765","Female",2011
"3324","6314","/0-4years;Females","400","Female",2011
"3325","6321","/0-4years;Females","995","Female",2011
"3326","6322","/0-4years;Females","1200","Female",2011
"3327","6323","/0-4years;Females","575","Female",2011
"3328","6324","/0-4years;Females","165","Female",2011
"3329","6411","/0-4years;Females","1735","Female",2011
"3330","6412","/0-4years;Females","3290","Female",2011
"3331","6421","/0-4years;Females","2245","Female",2011
"3332","6422","/0-4years;Females","2915","Female",2011
"3333","6431","/0-4years;Females","1660","Female",2011
"3334","6432","/0-4years;Females","1100","Female",2011
"3335","6511","/0-4years;Females","2045","Female",2011
"3336","6512","/0-4years;Females","2870","Female",2011
"3337","6521","/0-4years;Females","1530","Female",2011
"3338","6522","/0-4years;Females","1170","Female",2011
"3339","6523","/0-4years;Females","1245","Female",2011
"3340","6524","/0-4years;Females","1085","Female",2011
