"","ca.age.pry.census_id","ca.age.pry.Age","ca.age.pry.Count","ca.age.pry.Sex","ca.age.pry.Year"
"414","46","45 - 49","44910","Female",2006
"415","47","45 - 49","38015","Female",2006
"416","48","45 - 49","136320","Female",2006
"417","59","45 - 49","177100","Female",2006
"418","60","45 - 49","1540","Female",2006
"419","61","45 - 49","1605","Female",2006
"420","62","45 - 49","750","Female",2006
"421","1","50 - 54","1198330","Female",2006
"422","10","50 - 54","21670","Female",2006
"423","11","50 - 54","5195","Female",2006
"424","12","50 - 54","36945","Female",2006
"425","13","50 - 54","29995","Female",2006
"426","24","50 - 54","298300","Female",2006
"427","35","50 - 54","446055","Female",2006
"428","46","50 - 54","41315","Female",2006
"429","47","50 - 54","35010","Female",2006
"430","48","50 - 54","117040","Female",2006
"431","59","50 - 54","163515","Female",2006
"432","60","50 - 54","1365","Female",2006
"433","61","50 - 54","1335","Female",2006
"434","62","50 - 54","580","Female",2006
"435","1","55 - 59","1058225","Female",2006
"436","10","55 - 59","19840","Female",2006
"437","11","55 - 59","5135","Female",2006
"438","12","55 - 59","34600","Female",2006
"439","13","55 - 59","27435","Female",2006
"440","24","55 - 59","266560","Female",2006
"441","35","55 - 59","395995","Female",2006
"442","46","55 - 59","36440","Female",2006
"443","47","55 - 59","29105","Female",2006
"444","48","55 - 59","93795","Female",2006
"445","59","55 - 59","146845","Female",2006
"446","60","55 - 59","1085","Female",2006
"447","61","55 - 59","935","Female",2006
"448","62","55 - 59","460","Female",2006
"449","1","60 - 64","809730","Female",2006
"450","10","60 - 64","15265","Female",2006
"451","11","60 - 64","3745","Female",2006
"452","12","60 - 64","26450","Female",2006
"453","13","60 - 64","20240","Female",2006
"454","24","60 - 64","219265","Female",2006
"455","35","60 - 64","298440","Female",2006
"456","46","60 - 64","27220","Female",2006
"457","47","60 - 64","22020","Female",2006
"458","48","60 - 64","66910","Female",2006
"459","59","60 - 64","108780","Female",2006
"460","60","60 - 64","600","Female",2006
"461","61","60 - 64","515","Female",2006
"462","62","60 - 64","270","Female",2006
"463","1","65 - 69","640770","Female",2006
"464","10","65 - 69","11150","Female",2006
"465","11","65 - 69","2955","Female",2006
"466","12","65 - 69","20755","Female",2006
"467","13","65 - 69","15955","Female",2006
"468","24","65 - 69","165395","Female",2006
"469","35","65 - 69","243600","Female",2006
"470","46","65 - 69","21895","Female",2006
"471","47","65 - 69","19205","Female",2006
"472","48","65 - 69","52245","Female",2006
"473","59","65 - 69","86715","Female",2006
"474","60","65 - 69","370","Female",2006
"475","61","65 - 69","355","Female",2006
"476","62","65 - 69","170","Female",2006
"477","1","70 - 74","560325","Female",2006
"478","10","70 - 74","9065","Female",2006
"479","11","70 - 74","2645","Female",2006
"480","12","70 - 74","17575","Female",2006
"481","13","70 - 74","13700","Female",2006
"482","24","70 - 74","146205","Female",2006
"483","35","70 - 74","214440","Female",2006
"484","46","70 - 74","19605","Female",2006
"485","47","70 - 74","17795","Female",2006
"486","48","70 - 74","45235","Female",2006
"487","59","70 - 74","73430","Female",2006
"488","60","70 - 74","290","Female",2006
"489","61","70 - 74","250","Female",2006
"490","62","70 - 74","95","Female",2006
"491","1","75 - 79","493095","Female",2006
"492","10","75 - 79","7540","Female",2006
"493","11","75 - 79","2100","Female",2006
"494","12","75 - 79","15095","Female",2006
"495","13","75 - 79","11720","Female",2006
"496","24","75 - 79","128045","Female",2006
"497","35","75 - 79","189325","Female",2006
"498","46","75 - 79","18520","Female",2006
"499","47","75 - 79","16750","Female",2006
"500","48","75 - 79","38765","Female",2006
"501","59","75 - 79","64800","Female",2006
"502","60","75 - 79","190","Female",2006
"503","61","75 - 79","175","Female",2006
"504","62","75 - 79","60","Female",2006
"505","1","80 - 84","395285","Female",2006
"506","10","80 - 84","5580","Female",2006
"507","11","80 - 84","1805","Female",2006
"508","12","80 - 84","12325","Female",2006
"509","13","80 - 84","9920","Female",2006
"510","24","80 - 84","98695","Female",2006
"511","35","80 - 84","153035","Female",2006
"512","46","80 - 84","16195","Female",2006
"513","47","80 - 84","14325","Female",2006
"514","48","80 - 84","30095","Female",2006
"515","59","80 - 84","53035","Female",2006
"516","60","80 - 84","125","Female",2006
"517","61","80 - 84","130","Female",2006
"518","62","80 - 84","25","Female",2006
"519","1","85-","358685","Female",2006
"520","10","85-","5330","Female",2006
"521","11","85-","1925","Female",2006
"522","12","85-","13050","Female",2006
"523","13","85-","9850","Female",2006
"524","24","85-","85585","Female",2006
"525","35","85-","131260","Female",2006
"526","46","85-","16415","Female",2006
"527","47","85-","16165","Female",2006
"528","48","85-","28535","Female",2006
"529","59","85-","50360","Female",2006
"530","60","85-","110","Female",2006
"531","61","85-","85","Female",2006
"532","62","85-","25","Female",2006
