"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"686","3131","15-19","2915","Male",2016
"687","3132","15-19","2645","Male",2016
"688","3133","15-19","2250","Male",2016
"689","3134","15-19","815","Male",2016
"690","3141","15-19","255","Male",2016
"691","3142","15-19","360","Male",2016
"692","4111","15-19","435","Male",2016
"693","4121","15-19","235","Male",2016
"694","4122","15-19","285","Male",2016
"695","4131","15-19","495","Male",2016
"696","4141","15-19","1450","Male",2016
"697","4151","15-19","2230","Male",2016
"698","4152","15-19","1195","Male",2016
"699","4161","15-19","620","Male",2016
"700","4162","15-19","525","Male",2016
"701","4171","15-19","2885","Male",2016
"702","4181","15-19","1945","Male",2016
"703","4182","15-19","645","Male",2016
"704","5111","15-19","1360","Male",2016
"705","5121","15-19","2760","Male",2016
"706","5131","15-19","1240","Male",2016
"707","5141","15-19","555","Male",2016
"708","5151","15-19","4725","Male",2016
"709","5161","15-19","770","Male",2016
"710","5171","15-19","355","Male",2016
"711","5181","15-19","590","Male",2016
"712","5191","15-19","565","Male",2016
"713","6111","15-19","3060","Male",2016
"714","6112","15-19","3140","Male",2016
"715","6113","15-19","1775","Male",2016
"716","6121","15-19","1685","Male",2016
"717","6122","15-19","1995","Male",2016
"718","6211","15-19","1370","Male",2016
"719","6212","15-19","1945","Male",2016
"720","6221","15-19","765","Male",2016
"721","6222","15-19","1635","Male",2016
"722","6223","15-19","1105","Male",2016
"723","6224","15-19","1525","Male",2016
"724","6225","15-19","1660","Male",2016
"725","6311","15-19","735","Male",2016
"726","6312","15-19","630","Male",2016
"727","6313","15-19","1100","Male",2016
"728","6314","15-19","290","Male",2016
"729","6321","15-19","840","Male",2016
"730","6322","15-19","710","Male",2016
"731","6323","15-19","430","Male",2016
"732","6324","15-19","285","Male",2016
"733","6411","15-19","1395","Male",2016
"734","6412","15-19","2790","Male",2016
"735","6421","15-19","1910","Male",2016
"736","6422","15-19","2440","Male",2016
"737","6431","15-19","1095","Male",2016
"738","6432","15-19","645","Male",2016
"739","6511","15-19","1615","Male",2016
"740","6512","15-19","2020","Male",2016
"741","6521","15-19","1900","Male",2016
"742","6522","15-19","1075","Male",2016
